"Chromosome","Start_Position","End_Position","Match_Position","Match_End_Position","FlankedExonIDs"
"NC_035107.1",29315426,29316225,29325402,29326201,"exon-XM_021839277.1-1; exon-XM_021839277.1-2; exon-XM_021839277.1-3; exon-XM_021839277.1-4; exon-XM_021839278.1-1; exon-XM_021839278.1-2; exon-XM_021839278.1-3; exon-XM_021839278.1-4"
"NC_035107.1",29316276,29316900,29331735,29332359,"exon-XM_021839277.1-1; exon-XM_021839278.1-1; exon-XM_021839278.1-2; exon-XM_021839278.1-3; exon-XM_021839278.1-4"
"NC_035107.1",29316926,29317400,29333551,29334025,"exon-XM_021839278.1-1; exon-XM_021839278.1-2; exon-XM_021839278.1-3; exon-XM_021839278.1-4"
"NC_035107.1",31968051,31968100,31970974,31971023,"exon-XM_021839331.1-2"
"NC_035107.1",32706801,32706850,32723031,32723080,"exon-XM_021839340.1-1; exon-XM_021839336.1-1"
"NC_035107.1",32778526,32778625,32792377,32792476,"exon-XM_021839347.1-1"
"NC_035107.1",32778751,32778800,32792613,32792662,"exon-XM_021839347.1-1"
"NC_035107.1",32778901,32778950,32792765,32792814,"exon-XM_021839347.1-1"
"NC_035107.1",32779876,32779925,32792924,32792973,"exon-XM_021839347.1-1"
"NC_035107.1",32779976,32780025,32793024,32793073,"exon-XM_021839347.1-1"
"NC_035107.1",33660601,33660775,33664408,33664582,"exon-XM_021839352.1-1; exon-XM_021839352.1-2; exon-XM_021839351.1-1; exon-XM_021839353.1-1"
"NC_035107.1",33914651,33914700,33914750,33914799,"exon-XM_021839356.1-2"
"NC_035107.1",33914651,33914700,33915146,33915195,"exon-XM_021839356.1-2"
"NC_035107.1",33914651,33914700,33915344,33915393,"exon-XM_021839356.1-2"
"NC_035107.1",33914651,33914700,33915443,33915492,"exon-XM_021839356.1-2"
"NC_035107.1",33914726,33914775,33914924,33914973,"exon-XM_021839356.1-2"
"NC_035107.1",33914726,33914825,33915419,33915518,"exon-XM_021839356.1-2"
"NC_035107.1",33914751,33914800,33915147,33915196,"exon-XM_021839356.1-2"
"NC_035107.1",33914751,33914800,33915345,33915394,"exon-XM_021839356.1-2"
"NC_035107.1",33914901,33914975,33915396,33915470,"exon-XM_021839356.1-2"
"NC_035107.1",33915026,33915075,33915125,33915174,"exon-XM_021839356.1-2"
"NC_035107.1",33915026,33915075,33915323,33915372,"exon-XM_021839356.1-2"
"NC_035107.1",33915101,33915200,33915299,33915398,"exon-XM_021839356.1-2"
"NC_035107.1",33915151,33915200,33915448,33915497,"exon-XM_021839356.1-2"
"NC_035107.1",33915351,33915400,33915450,33915499,"exon-XM_021839356.1-2"
"NC_035107.1",34047226,34047275,34047721,34047770,"exon-XM_021839357.1-2"
"NC_035107.1",34047226,34047275,34047919,34047968,"exon-XM_021839357.1-2"
"NC_035107.1",34047226,34047275,34048909,34048958,"exon-XM_021839357.1-2"
"NC_035107.1",34047276,34047325,34047474,34047523,"exon-XM_021839357.1-2"
"NC_035107.1",34047276,34047325,34048266,34048315,"exon-XM_021839357.1-2"
"NC_035107.1",34047276,34047325,34048761,34048810,"exon-XM_021839357.1-2"
"NC_035107.1",34047276,34047325,34049058,34049107,"exon-XM_021839357.1-2"
"NC_035107.1",34047326,34047400,34048118,34048192,"exon-XM_021839357.1-2"
"NC_035107.1",34047326,34047375,34048712,34048761,"exon-XM_021839357.1-2"
"NC_035107.1",34047376,34047500,34047574,34047698,"exon-XM_021839357.1-2"
"NC_035107.1",34047376,34047500,34048366,34048490,"exon-XM_021839357.1-2"
"NC_035107.1",34047426,34047525,34048218,34048317,"exon-XM_021839357.1-2"
"NC_035107.1",34047426,34047525,34049010,34049109,"exon-XM_021839357.1-2"
"NC_035107.1",34047476,34047525,34048763,34048812,"exon-XM_021839357.1-2"
"NC_035107.1",34047576,34047750,34048368,34048542,"exon-XM_021839357.1-2"
"NC_035107.1",34047626,34047675,34048220,34048269,"exon-XM_021839357.1-2"
"NC_035107.1",34047626,34047675,34049012,34049061,"exon-XM_021839357.1-2"
"NC_035107.1",34047676,34047775,34047874,34047973,"exon-XM_021839357.1-2"
"NC_035107.1",34047676,34047725,34048072,34048121,"exon-XM_021839357.1-2"
"NC_035107.1",34047676,34047725,34048666,34048715,"exon-XM_021839357.1-2"
"NC_035107.1",34047726,34047775,34048914,34048963,"exon-XM_021839357.1-2"
"NC_035107.1",34047751,34047800,34048147,34048196,"exon-XM_021839357.1-2"
"NC_035107.1",34047751,34047800,34048345,34048394,"exon-XM_021839357.1-2"
"NC_035107.1",34047826,34047875,34048816,34048865,"exon-XM_021839357.1-2"
"NC_035107.1",34047876,34047925,34048074,34048123,"exon-XM_021839357.1-2"
"NC_035107.1",34047876,34047950,34048470,34048544,"exon-XM_021839357.1-2"
"NC_035107.1",34047876,34047925,34048668,34048717,"exon-XM_021839357.1-2"
"NC_035107.1",34047926,34047975,34048916,34048965,"exon-XM_021839357.1-2"
"NC_035107.1",34047976,34048175,34048570,34048769,"exon-XM_021839357.1-2"
"NC_035107.1",34048051,34048125,34048447,34048521,"exon-XM_021839357.1-2"
"NC_035107.1",34048151,34048200,34048349,34048398,"exon-XM_021839357.1-2"
"NC_035107.1",34048201,34048325,34048993,34049117,"exon-XM_021839357.1-2"
"NC_035107.1",34048226,34048275,34048424,34048473,"exon-XM_021839357.1-2"
"NC_035107.1",34048251,34048325,34048746,34048820,"exon-XM_021839357.1-2"
"NC_035107.1",34048426,34048475,34049020,34049069,"exon-XM_021839357.1-2"
"NC_035107.1",34048451,34048525,34048649,34048723,"exon-XM_021839357.1-2"
"NC_035107.1",34048751,34048825,34049048,34049122,"exon-XM_021839357.1-2"
"NC_035107.1",34174576,34174625,34174675,34174724,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174576,34174625,34174972,34175021,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174576,34174725,34174873,34175022,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174576,34174725,34175170,34175319,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174576,34174625,34175368,34175417,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174576,34174725,34175269,34175418,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174576,34174625,34175665,34175714,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174576,34174725,34175566,34175715,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174576,34174625,34176061,34176110,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174576,34174625,34176655,34176704,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174576,34174625,34176952,34177001,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174626,34174725,34176903,34177002,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174676,34174725,34174874,34174923,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174676,34174725,34175171,34175220,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174676,34174725,34175567,34175616,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174676,34174725,34176062,34176111,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174676,34174725,34176656,34176705,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174726,34174800,34175815,34175889,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174776,34175000,34175073,34175297,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174776,34175100,34175469,34175793,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174776,34174825,34176162,34176211,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174776,34174825,34177053,34177102,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174801,34174900,34175989,34176088,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174801,34174900,34176583,34176682,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174876,34175300,34175272,34175696,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174926,34175050,34176906,34177030,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174976,34175050,34176065,34176139,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34174976,34175050,34176659,34176733,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175076,34175125,34176165,34176214,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175076,34175125,34177056,34177105,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175101,34175200,34175992,34176091,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175101,34175200,34176586,34176685,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175176,34175300,34175275,34175399,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175201,34175300,34176884,34176983,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175276,34175500,34175573,34175797,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175301,34175450,34176885,34177034,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175351,34175400,34175549,34175598,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175351,34175450,34176044,34176143,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175351,34175450,34176638,34176737,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175476,34175525,34176169,34176218,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175476,34175525,34177060,34177109,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175501,34175600,34175996,34176095,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175501,34175600,34176590,34176689,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175551,34175600,34175650,34175699,"exon-XM_021839362.1-3; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175551,34175600,34176937,34176986,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175601,34175750,34176888,34177037,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175651,34175750,34176047,34176146,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175651,34175750,34176641,34176740,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839361.1-3; exon-XM_021839360.1-2"
"NC_035107.1",34175851,34176150,34176445,34176744,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34175851,34175925,34177336,34177410,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34175951,34176000,34176347,34176396,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34175951,34176000,34176842,34176891,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34175951,34176000,34177238,34177287,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34175976,34176025,34176174,34176223,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34175976,34176025,34177065,34177114,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34175976,34176025,34177860,34177909,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34176051,34176525,34176942,34177416,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34176176,34176225,34176572,34176621,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34176176,34176225,34177862,34177911,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34176251,34176400,34176746,34176895,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34176351,34176400,34176549,34176598,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34176551,34176600,34176848,34176897,"exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34176551,34176600,34177244,34177293,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34176576,34176625,34177071,34177120,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34176576,34176625,34177866,34177915,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34176651,34176725,34176948,34177022,"exon-XM_021839362.1-2; exon-XM_021839362.1-3; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34176751,34176900,34177147,34177296,"exon-XM_021839362.1-2; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34176751,34176800,34177843,34177892,"exon-XM_021839362.1-2; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34177601,34177675,34178099,34178173,"exon-XM_021839362.1-2; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34177726,34177825,34178323,34178422,"exon-XM_021839362.1-2; exon-XM_021839361.1-2; exon-XM_021839360.1-2"
"NC_035107.1",34277751,34277875,34278246,34278370,"exon-XM_021839364.1-3"
"NC_035107.1",34277751,34277800,34278840,34278889,"exon-XM_021839364.1-2; exon-XM_021839364.1-3; exon-XM_021839365.1-3"
"NC_035107.1",34277751,34277800,34279038,34279087,"exon-XM_021839364.1-2; exon-XM_021839364.1-3; exon-XM_021839365.1-3"
"NC_035107.1",34277751,34277800,34279434,34279483,"exon-XM_021839364.1-2; exon-XM_021839364.1-3; exon-XM_021839365.1-3"
"NC_035107.1",34277876,34277925,34277975,34278024,"exon-XM_021839364.1-3"
"NC_035107.1",34277926,34277975,34278124,34278173,"exon-XM_021839364.1-3"
