Chromosome,Start_Position,End_Position,Match_Position,Match_End_Position
BX284601.5,338626,338675,340834,340883
BX284601.5,338626,338675,341018,341067
BX284601.5,338726,338800,338910,338984
BX284601.5,338726,338800,339094,339168
BX284601.5,338726,338800,339278,339352
BX284601.5,338726,338800,339462,339536
BX284601.5,338726,338800,339646,339720
BX284601.5,338726,338875,340014,340163
BX284601.5,338726,338800,340382,340456
BX284601.5,338726,338800,340566,340640
BX284601.5,338826,338875,339010,339059
BX284601.5,338826,338875,339194,339243
BX284601.5,338826,338875,339378,339427
BX284601.5,338826,338875,339562,339611
BX284601.5,338826,338875,339746,339795
BX284601.5,338826,338875,339930,339979
BX284601.5,338826,338875,340482,340531
BX284601.5,338826,338875,340666,340715
BX284601.5,338826,338875,340850,340899
BX284601.5,338826,338875,341034,341083
BX284601.5,338901,338975,339085,339159
BX284601.5,338901,339350,339269,339718
BX284601.5,338901,338975,339453,339527
BX284601.5,338901,338975,339637,339711
BX284601.5,338901,338950,339821,339870
BX284601.5,338901,338975,340005,340079
BX284601.5,338901,338975,340373,340447
BX284601.5,338901,338975,340557,340631
BX284601.5,338901,338950,340741,340790
BX284601.5,338901,338950,340925,340974
BX284601.5,339001,339150,339185,339334
BX284601.5,339001,339150,339553,339702
BX284601.5,339001,339125,339737,339861
BX284601.5,339001,339150,339921,340070
BX284601.5,339001,339075,340105,340179
BX284601.5,339001,339050,340289,340338
BX284601.5,339001,339150,340473,340622
BX284601.5,339001,339125,340657,340781
BX284601.5,339001,339125,340841,340965
BX284601.5,339001,339125,341025,341149
BX284601.5,339076,339175,340364,340463
BX284601.5,339176,339350,339912,340086
BX284601.5,339176,339275,340096,340195
BX284601.5,339176,339300,340832,340956
BX284601.5,339176,339300,341016,341140
BX284601.5,339201,339350,339385,339534
BX284601.5,339201,339300,339753,339852
BX284601.5,339201,339350,340489,340638
BX284601.5,339201,339300,340673,340772
BX284601.5,339251,339350,340355,340454
BX284601.5,339376,339525,339560,339709
BX284601.5,339376,339500,339744,339868
BX284601.5,339376,339525,339928,340077
BX284601.5,339376,339450,340112,340186
BX284601.5,339376,339525,340480,340629
BX284601.5,339376,339500,340664,340788
BX284601.5,339376,339500,340848,340972
BX284601.5,339376,339475,341032,341131
BX284601.5,339426,339525,340346,340445
BX284601.5,339551,339675,339735,339859
BX284601.5,339551,339700,339919,340068
BX284601.5,339551,339650,340103,340202
BX284601.5,339551,339600,340287,340336
BX284601.5,339551,339675,340655,340779
BX284601.5,339551,339675,340839,340963
BX284601.5,339551,339675,341023,341147
BX284601.5,339576,340050,340496,340970
BX284601.5,339626,339700,340362,340436
BX284601.5,339751,339875,339935,340059
BX284601.5,339751,339825,340119,340193
BX284601.5,339751,339875,340487,340611
BX284601.5,339751,339850,340855,340954
BX284601.5,339751,339850,341039,341138
BX284601.5,339801,339875,340353,340427
BX284601.5,339901,340050,341005,341154
BX284601.5,339926,340000,340110,340184
BX284601.5,339926,340075,340478,340627
BX284601.5,339926,340050,340662,340786
BX284601.5,339976,340075,340344,340443
BX284601.5,340101,340200,340837,340936
BX284601.5,340101,340200,341021,341120
BX284601.5,340126,340200,340494,340568
BX284601.5,340126,340200,340678,340752
BX284601.5,340351,340450,340535,340634
BX284601.5,340351,340425,340719,340793
BX284601.5,340351,340425,340903,340977
BX284601.5,340351,340400,341087,341136
BX284601.5,340476,340600,340660,340784
BX284601.5,340476,340600,340844,340968
BX284601.5,340476,340600,341028,341152
BX284601.5,340676,340775,340860,340959
BX284601.5,340676,340775,341044,341143
BX284601.5,340826,340950,341010,341134
BX284601.5,354876,354925,355123,355172
BX284601.5,354901,354950,354939,354988
BX284601.5,354926,354975,355021,355070
BX284601.5,354951,355000,355160,355209
BX284601.5,355026,355075,355159,355208
BX284601.5,375351,375600,376709,376958
BX284601.5,375676,375800,377040,377164
BX284601.5,401151,401200,414995,415044
BX284601.5,401226,401450,415070,415294
BX284601.5,401826,401900,415670,415744
BX284601.5,402526,402600,402624,402698
BX284601.5,402551,402600,402747,402796
BX284601.5,402651,402700,402749,402798
BX284601.5,477876,477925,477973,478022
BX284601.5,492626,492700,495354,495428
BX284601.5,560126,560200,560367,560441
BX284601.5,580626,580675,580789,580838
BX284601.5,580751,580800,580914,580963
BX284601.5,580851,580900,581014,581063
BX284601.5,594101,594275,594309,594483
BX284601.5,594201,594275,594615,594689
BX284601.5,594426,594475,594632,594681
BX284601.5,603726,603775,603760,603809
BX284601.5,609876,610025,610319,610468
BX284601.5,610001,610050,610112,610161
BX284601.5,610001,610050,610555,610604
BX284601.5,610001,610075,610722,610796
BX284601.5,610001,610075,610833,610907
BX284601.5,610001,610050,611165,611214
BX284601.5,610026,610075,610193,610242
BX284601.5,610026,610075,610636,610685
BX284601.5,610051,610100,611049,611098
BX284601.5,610051,610150,611104,611203
BX284601.5,610101,610300,610544,610743
BX284601.5,610101,610150,610711,610760
BX284601.5,610101,610150,610822,610871
BX284601.5,610201,610300,610755,610854
BX284601.5,610201,610300,610866,610965
BX284601.5,610226,610300,610502,610576
BX284601.5,610501,610600,610668,610767
BX284601.5,610501,610600,610779,610878
BX284601.5,610501,610575,610890,610964
BX284601.5,610551,610600,611161,611210
BX284601.5,610651,610850,610762,610961
BX284601.5,610651,610750,610873,610972
BX284601.5,610726,610775,611169,611218
BX284601.5,610826,610900,611158,611232
BX284601.5,611051,611100,611106,611155
BX284601.5,616726,616900,622592,622766
BX284601.5,616951,617000,622817,622866
BX284601.5,617051,617250,617401,617600
BX284601.5,617051,617175,622918,623042
BX284601.5,617401,617525,622918,623042
BX284601.5,617651,617700,623323,623372
BX284601.5,623751,623825,623888,623962
BX284601.5,624876,624925,629138,629187
BX284601.5,632401,632450,632783,632832
BX284601.5,639601,639650,647436,647485
BX284601.5,650051,650400,650478,650827
BX284601.5,650051,650475,651176,651600
BX284601.5,650101,650200,650256,650355
BX284601.5,650101,650200,650683,650782
BX284601.5,650101,650200,650954,651053
BX284601.5,650101,650200,651381,651480
BX284601.5,650126,650825,650824,651523
BX284601.5,650251,650350,650523,650622
BX284601.5,650251,650350,651221,651320
BX284601.5,650276,650350,650819,650893
BX284601.5,650526,650625,650681,650780
BX284601.5,650526,650625,650952,651051
BX284601.5,650526,650625,651379,651478
BX284601.5,650551,650825,650822,651096
BX284601.5,650676,650775,651219,651318
BX284601.5,650701,650775,650817,650891
BX284601.5,650826,650900,650981,651055
BX284601.5,650826,651150,651253,651577
BX284601.5,650826,650900,651408,651482
BX284601.5,650951,651050,651223,651322
BX284601.5,651226,651325,651381,651480
BX284601.5,655426,655475,662334,662383
BX284601.5,665226,665275,665652,665701
BX284601.5,665476,665525,665509,665558
BX284601.5,669701,669750,669895,669944
BX284601.5,669701,669850,670024,670173
BX284601.5,669701,669775,670725,670799
BX284601.5,669701,669850,671017,671166
BX284601.5,669701,669750,671661,671710
BX284601.5,669876,669925,670804,670853
BX284601.5,669901,669950,670030,670079
BX284601.5,669901,669950,670731,670780
BX284601.5,669901,669950,671023,671072
BX284601.5,669901,669950,671667,671716
BX284601.5,669951,670000,671170,671219
BX284601.5,670001,670200,670994,671193
BX284601.5,670026,670100,670727,670801
BX284601.5,670026,670075,671663,671712
BX284601.5,670176,670225,670943,670992
BX284601.5,670251,670300,670822,670871
BX284601.5,670501,670700,671341,671540
BX284601.5,670576,670625,670608,670657
BX284601.5,670576,670625,671319,671368
BX284601.5,670576,670625,671448,671497
BX284601.5,670651,670700,670683,670732
BX284601.5,670676,670725,671484,671533
BX284601.5,670701,670750,671219,671268
BX284601.5,670726,670800,671018,671092
BX284601.5,670726,670775,671662,671711
BX284601.5,671001,671050,671227,671276
BX284601.5,671026,671075,671670,671719
BX284601.5,671301,671350,671398,671447
BX284601.5,671426,671475,671458,671507
BX284601.5,673876,673925,682578,682627
BX284601.5,678776,678825,678953,679002
BX284601.5,681001,681050,696282,696331
BX284601.5,691751,691800,695640,695689
BX284601.5,692851,692900,693115,693164
BX284601.5,698626,698875,699009,699258
BX284601.5,698626,698875,699391,699640
BX284601.5,698901,698950,699284,699333
BX284601.5,698901,698950,699666,699715
BX284601.5,699001,699375,699383,699757
BX284601.5,712401,712450,712751,712800
BX284601.5,714901,714950,718479,718528
BX284601.5,724826,724875,724868,724917
BX284601.5,728426,728600,729719,729893
BX284601.5,728601,728650,729892,729941
BX284601.5,733651,733700,736037,736086
BX284601.5,749276,749450,749308,749482
BX284601.5,749276,749400,749340,749464
BX284601.5,749276,749375,749372,749471
BX284601.5,749276,749350,749404,749478
BX284601.5,749276,749325,749436,749485
BX284601.5,749276,749325,749524,749573
BX284601.5,749276,749325,749556,749605
BX284601.5,749351,749400,749647,749696
BX284601.5,749526,749575,749558,749607
BX284601.5,749551,749600,749647,749696
BX284601.5,752001,752125,755626,755750
BX284601.5,759401,759450,759507,759556
BX284601.5,765726,765775,765756,765805
BX284601.5,767826,767900,769817,769891
BX284601.5,767951,768100,770053,770202
BX284601.5,817501,817550,817623,817672
BX284601.5,829001,829050,829123,829172
BX284601.5,829001,829050,829245,829294
BX284601.5,829076,829175,829198,829297
BX284601.5,833451,833550,833907,834006
BX284601.5,833601,833725,834057,834181
BX284601.5,833751,833900,834207,834356
BX284601.5,843351,843400,843509,843558
BX284601.5,844676,844725,844711,844760
BX284601.5,844876,844925,844948,844997
BX284601.5,859651,859725,869519,869593
BX284601.5,860026,860075,869894,869943
BX284601.5,889451,889500,891814,891863
BX284601.5,892951,893050,893216,893315
BX284601.5,893076,893150,893427,893501
BX284601.5,893076,893150,893713,893787
BX284601.5,893076,893150,894044,894118
BX284601.5,893151,893225,893525,893599
BX284601.5,893151,893225,893811,893885
BX284601.5,893176,893225,893505,893554
BX284601.5,893176,893225,893791,893840
BX284601.5,893301,893350,893610,893659
BX284601.5,893301,893400,893918,894017
BX284601.5,893401,893600,893687,893886
BX284601.5,893426,893500,894043,894117
BX284601.5,893501,893550,893546,893595
BX284601.5,893501,893550,893832,893881
BX284601.5,893551,893600,893792,893841
BX284601.5,893601,893675,893909,893983
BX284601.5,893726,893775,894057,894106
BX284601.5,894201,894250,898679,898728
BX284601.5,894201,894250,898723,898772
BX284601.5,894201,894250,898767,898816
BX284601.5,894201,894250,898811,898860
BX284601.5,894201,894250,898877,898926
BX284601.5,898701,898800,898745,898844
BX284601.5,898701,898750,898789,898838
BX284601.5,898751,898800,898861,898910
BX284601.5,898801,898850,898867,898916
BX284601.5,899751,900100,900114,900463
BX284601.5,915101,915200,915479,915578
BX284601.5,915201,915250,915231,915280
BX284601.5,915201,915250,915573,915622
BX284601.5,915276,915400,915642,915766
BX284601.5,923526,923600,923946,924020
BX284601.5,923576,923700,924356,924480
BX284601.5,923576,923700,924776,924900
BX284601.5,923626,923825,924046,924245
BX284601.5,923651,923700,924512,924561
BX284601.5,923701,923750,924583,924632
BX284601.5,923726,923825,924926,925025
BX284601.5,923776,923825,923836,923885
BX284601.5,923776,923825,924658,924707
BX284601.5,923826,923975,924186,924335
BX284601.5,923826,923875,924966,925015
BX284601.5,923851,923900,924673,924722
BX284601.5,923926,923975,924748,924797
BX284601.5,924051,924100,924411,924460
BX284601.5,924051,924125,924831,924905
BX284601.5,924101,924175,924563,924637
BX284601.5,924201,924250,924663,924712
BX284601.5,924201,924250,924981,925030
BX284601.5,924276,924325,924738,924787
BX284601.5,924376,924425,924457,924506
BX284601.5,924376,924475,924796,924895
BX284601.5,924451,924500,924790,924839
BX284601.5,924551,924600,924869,924918
BX284601.5,924651,924700,924969,925018
BX284601.5,933526,933600,933607,933681
BX284601.5,933576,933625,933684,933733
BX284601.5,933576,933625,933711,933760
BX284601.5,933576,933625,933738,933787
BX284601.5,933576,933625,933819,933868
BX284601.5,933576,933625,933900,933949
BX284601.5,933576,933625,933981,934030
BX284601.5,933576,933625,934008,934057
BX284601.5,933576,933625,934089,934138
BX284601.5,933576,933625,934224,934273
BX284601.5,933576,933625,934305,934354
BX284601.5,933576,933625,934332,934381
BX284601.5,933576,933625,934413,934462
BX284601.5,933576,933625,934494,934543
BX284601.5,933576,933625,934521,934570
BX284601.5,933576,933625,934602,934651
BX284601.5,933576,933625,934683,934732
BX284601.5,933701,933750,933728,933777
BX284601.5,933701,933750,933809,933858
BX284601.5,933701,933750,933890,933939
BX284601.5,933701,933925,933971,934195
BX284601.5,933701,933750,933998,934047
BX284601.5,933701,933750,934079,934128
BX284601.5,933701,933750,934214,934263
BX284601.5,933701,933950,934295,934544
BX284601.5,933701,933750,934322,934371
BX284601.5,933701,933750,934403,934452
BX284601.5,933701,933950,934484,934733
BX284601.5,933701,933750,934511,934560
BX284601.5,933701,933750,934592,934641
BX284601.5,933701,933775,934673,934747
BX284601.5,933701,933750,934700,934749
BX284601.5,933726,933950,933807,934031
BX284601.5,933726,933875,933888,934037
BX284601.5,933726,933775,933969,934018
BX284601.5,933726,933850,934077,934201
BX284601.5,933726,933875,934212,934361
BX284601.5,933726,933775,934293,934342
BX284601.5,933726,933875,934401,934550
BX284601.5,933726,933775,934482,934531
BX284601.5,933726,933875,934590,934739
BX284601.5,933726,933775,934671,934720
BX284601.5,933751,933950,934156,934355
BX284601.5,933826,934000,934015,934189
BX284601.5,933826,934200,934339,934713
BX284601.5,933826,934050,934528,934752
BX284601.5,933851,934200,934175,934524
BX284601.5,933901,934025,934009,934133
BX284601.5,933901,934025,934333,934457
BX284601.5,933901,934025,934522,934646
BX284601.5,933926,934025,934169,934268
BX284601.5,933976,934025,934003,934052
BX284601.5,933976,934025,934327,934376
BX284601.5,933976,934025,934516,934565
BX284601.5,933976,934025,934705,934754
BX284601.5,934001,934100,934082,934181
BX284601.5,934001,934125,934217,934341
BX284601.5,934001,934050,934298,934347
BX284601.5,934001,934125,934406,934530
BX284601.5,934001,934050,934487,934536
BX284601.5,934001,934125,934595,934719
BX284601.5,934001,934050,934676,934725
BX284601.5,934026,934200,934161,934335
BX284601.5,934076,934200,934319,934443
BX284601.5,934076,934200,934508,934632
BX284601.5,934076,934125,934697,934746
BX284601.5,934101,934200,934155,934254
BX284601.5,934176,934275,934257,934356
BX284601.5,934176,934550,934365,934739
BX284601.5,934176,934275,934446,934545
BX284601.5,934176,934375,934554,934753
BX284601.5,934176,934275,934635,934734
BX284601.5,934226,934350,934334,934458
BX284601.5,934226,934350,934523,934647
BX284601.5,934301,934350,934328,934377
BX284601.5,934301,934350,934517,934566
BX284601.5,934326,934450,934407,934531
BX284601.5,934326,934375,934488,934537
BX284601.5,934326,934450,934596,934720
BX284601.5,934326,934375,934677,934726
BX284601.5,934401,934550,934509,934658
BX284601.5,934401,934450,934698,934747
BX284601.5,934501,934550,934528,934577
BX284601.5,934526,934650,934607,934731
BX284601.5,934526,934575,934688,934737
BX284601.5,934676,934725,934703,934752
BX284601.5,939826,939875,940097,940146
BX284601.5,942776,943025,942806,943055
BX284601.5,942776,942975,942836,943035
BX284601.5,942776,942950,942866,943040
BX284601.5,942776,942925,942896,943045
BX284601.5,942776,942900,942926,943050
BX284601.5,942776,942875,942956,943055
BX284601.5,942776,942825,942986,943035
BX284601.5,953901,953950,953952,954001
BX284601.5,953926,953975,954028,954077
BX284601.5,958001,958050,958112,958161
BX284601.5,958151,958225,958235,958309
BX284601.5,961951,962000,962245,962294
BX284601.5,961976,962025,962354,962403
BX284601.5,962001,962050,962085,962134
BX284601.5,962451,962500,962493,962542
BX284601.5,967376,967425,983843,983892
BX284601.5,970651,970700,970838,970887
BX284601.5,972226,972325,976059,976158
BX284601.5,972376,972425,976209,976258
BX284601.5,972526,972750,976359,976583
BX284601.5,973951,974100,974061,974210
BX284601.5,983851,983900,1001411,1001460
BX284601.5,1001351,1001400,1017728,1017777
BX284601.5,1012601,1012650,1013301,1013350
BX284601.5,1012676,1012800,1012921,1013045
BX284601.5,1012701,1012775,1012736,1012810
BX284601.5,1012701,1012875,1012981,1013155
BX284601.5,1012701,1012775,1013016,1013090
BX284601.5,1012726,1012800,1012936,1013010
BX284601.5,1012851,1012900,1012956,1013005
BX284601.5,1012851,1012900,1012991,1013040
BX284601.5,1012851,1012900,1013026,1013075
BX284601.5,1012876,1012925,1013191,1013240
BX284601.5,1012951,1013050,1012986,1013085
BX284601.5,1012951,1013000,1013021,1013070
BX284601.5,1012976,1013025,1013466,1013515
BX284601.5,1013151,1013200,1013256,1013305
BX284601.5,1013376,1013425,1013446,1013495
BX284601.5,1015476,1015525,1017272,1017321
BX284601.5,1016451,1016500,1018884,1018933
BX284601.5,1026801,1026925,1026983,1027107
BX284601.5,1026801,1026925,1027163,1027287
BX284601.5,1026801,1026925,1027344,1027468
BX284601.5,1026801,1026925,1027707,1027831
BX284601.5,1026801,1026925,1027888,1028012
BX284601.5,1026801,1026975,1028434,1028608
BX284601.5,1026926,1027000,1028011,1028085
BX284601.5,1026951,1027100,1027131,1027280
BX284601.5,1026951,1027100,1027312,1027461
BX284601.5,1026951,1027000,1027492,1027541
BX284601.5,1026951,1027100,1027675,1027824
BX284601.5,1026951,1027100,1027856,1028005
BX284601.5,1026976,1027100,1028427,1028551
BX284601.5,1027126,1027275,1027307,1027456
BX284601.5,1027126,1027175,1027487,1027536
BX284601.5,1027126,1027275,1027670,1027819
BX284601.5,1027126,1027275,1027851,1028000
BX284601.5,1027126,1027175,1028031,1028080
BX284601.5,1027151,1027275,1028422,1028546
BX284601.5,1027301,1027350,1027481,1027530
BX284601.5,1027301,1027450,1027664,1027813
BX284601.5,1027301,1027450,1027845,1027994
BX284601.5,1027301,1027350,1028025,1028074
BX284601.5,1027301,1027350,1028573,1028622
BX284601.5,1027326,1027450,1028416,1028540
BX284601.5,1027476,1027600,1028020,1028144
BX284601.5,1027476,1027525,1028568,1028617
BX284601.5,1027576,1027625,1028302,1028351
BX284601.5,1027651,1027825,1027832,1028006
BX284601.5,1027676,1027825,1028403,1028552
BX284601.5,1027851,1027900,1028031,1028080
BX284601.5,1027876,1028000,1028422,1028546
BX284601.5,1028026,1028075,1028574,1028623
BX284601.5,1036326,1036375,1037111,1037160
BX284601.5,1050176,1050225,1065413,1065462
BX284601.5,1060976,1061050,1061030,1061104
BX284601.5,1079601,1079700,1082525,1082624
BX284601.5,1081101,1081250,1081262,1081411
BX284601.5,1083226,1083300,1083331,1083405
BX284601.5,1083226,1083300,1083507,1083581
BX284601.5,1083326,1083425,1083502,1083601
BX284601.5,1093701,1093775,1093909,1093983
BX284601.5,1095276,1095325,1099638,1099687
BX284601.5,1099626,1099675,1116446,1116495
BX284601.5,1116926,1116975,1117843,1117892
BX284601.5,1116926,1116975,1117932,1117981
BX284601.5,1116976,1117050,1117060,1117134
BX284601.5,1117126,1117175,1117857,1117906
BX284601.5,1117126,1117200,1118016,1118090
BX284601.5,1117151,1117200,1117515,1117564
BX284601.5,1117176,1117225,1117214,1117263
BX284601.5,1117251,1117425,1117634,1117808
BX284601.5,1117251,1117350,1118084,1118183
BX284601.5,1117451,1117500,1117995,1118044
BX284601.5,1117476,1117525,1117950,1117999
BX284601.5,1117551,1117600,1117589,1117638
BX284601.5,1117626,1117750,1118076,1118200
BX284601.5,1117776,1117825,1118226,1118275
BX284601.5,1117826,1117900,1117915,1117989
BX284601.5,1117851,1117925,1118010,1118084
BX284601.5,1120876,1120975,1121326,1121425
BX284601.5,1120876,1120975,1122511,1122610
BX284601.5,1120876,1120975,1123384,1123483
BX284601.5,1120876,1120975,1124265,1124364
BX284601.5,1120951,1121075,1123927,1124051
BX284601.5,1120976,1121050,1121135,1121209
BX284601.5,1120976,1121025,1121502,1121551
BX284601.5,1120976,1121025,1122687,1122736
BX284601.5,1120976,1121050,1123734,1123808
BX284601.5,1120976,1121050,1123823,1123897
BX284601.5,1120976,1121075,1124076,1124175
BX284601.5,1120976,1121025,1124418,1124467
BX284601.5,1121001,1121050,1121597,1121646
BX284601.5,1121001,1121050,1121719,1121768
BX284601.5,1121001,1121050,1121858,1121907
BX284601.5,1121001,1121050,1121980,1122029
BX284601.5,1121001,1121075,1122102,1122176
BX284601.5,1121001,1121075,1122154,1122228
BX284601.5,1121001,1121075,1122206,1122280
BX284601.5,1121001,1121050,1122258,1122307
BX284601.5,1121001,1121050,1122869,1122918
BX284601.5,1121001,1121050,1122991,1123040
BX284601.5,1121001,1121050,1123236,1123285
BX284601.5,1121001,1121075,1123530,1123604
BX284601.5,1121026,1121075,1121570,1121619
BX284601.5,1121026,1121075,1121692,1121741
BX284601.5,1121026,1121075,1121953,1122002
BX284601.5,1121026,1121075,1122353,1122402
BX284601.5,1121026,1121075,1122755,1122804
BX284601.5,1121026,1121075,1122964,1123013
BX284601.5,1121026,1121075,1123086,1123135
BX284601.5,1121026,1121075,1123156,1123205
BX284601.5,1121026,1121075,1123625,1123674
BX284601.5,1121076,1121150,1121165,1121239
BX284601.5,1121076,1121225,1123764,1123913
BX284601.5,1121076,1121150,1123853,1123927
BX284601.5,1121101,1121225,1123700,1123824
BX284601.5,1121126,1121200,1124067,1124141
BX284601.5,1121151,1121200,1123968,1124017
BX284601.5,1121176,1121225,1121839,1121888
BX284601.5,1121176,1121225,1122850,1122899
BX284601.5,1121176,1121225,1123217,1123266
BX284601.5,1121176,1121225,1123686,1123735
BX284601.5,1121201,1121450,1122386,1122635
BX284601.5,1121226,1121450,1123284,1123508
BX284601.5,1121251,1121425,1124190,1124364
BX284601.5,1121426,1121475,1121464,1121513
BX284601.5,1121451,1121500,1122617,1122666
BX284601.5,1121451,1121500,1122655,1122704
BX284601.5,1121451,1121500,1123490,1123539
BX284601.5,1121501,1121550,1122686,1122735
BX284601.5,1121501,1121550,1123951,1124000
BX284601.5,1121501,1121550,1124417,1124466
BX284601.5,1121551,1121625,1122108,1122182
BX284601.5,1121551,1121625,1122160,1122234
BX284601.5,1121551,1121725,1122212,1122386
BX284601.5,1121551,1121625,1123536,1123610
BX284601.5,1121551,1121625,1123983,1124057
BX284601.5,1121551,1121600,1124107,1124156
BX284601.5,1121576,1121725,1121698,1121847
BX284601.5,1121576,1121675,1121959,1122058
BX284601.5,1121576,1121625,1122359,1122408
BX284601.5,1121576,1121625,1122761,1122810
BX284601.5,1121576,1121725,1122970,1123119
BX284601.5,1121576,1121625,1123092,1123141
BX284601.5,1121576,1121625,1123162,1123211
BX284601.5,1121576,1121625,1123631,1123680
BX284601.5,1121601,1121800,1121862,1122061
BX284601.5,1121601,1121850,1122873,1123122
BX284601.5,1121651,1121725,1122714,1122788
BX284601.5,1121651,1121725,1122784,1122858
BX284601.5,1121651,1121725,1123115,1123189
BX284601.5,1121651,1121700,1123185,1123234
BX284601.5,1121651,1121725,1123584,1123658
BX284601.5,1121651,1121700,1123654,1123703
BX284601.5,1121676,1121750,1122111,1122185
BX284601.5,1121676,1121750,1122163,1122237
BX284601.5,1121676,1121850,1122215,1122389
BX284601.5,1121676,1121725,1123539,1123588
BX284601.5,1121676,1121725,1123986,1124035
BX284601.5,1121676,1121725,1124110,1124159
BX284601.5,1121701,1121750,1122084,1122133
BX284601.5,1121726,1121850,1121865,1121989
BX284601.5,1121726,1121850,1122876,1123000
BX284601.5,1121776,1121850,1122717,1122791
BX284601.5,1121776,1122050,1122787,1123061
BX284601.5,1121776,1121850,1123118,1123192
BX284601.5,1121776,1121825,1123188,1123237
BX284601.5,1121776,1121850,1123587,1123661
BX284601.5,1121776,1121825,1123657,1123706
BX284601.5,1121801,1121850,1122114,1122163
BX284601.5,1121801,1121850,1122166,1122215
BX284601.5,1121801,1121850,1122218,1122267
BX284601.5,1121801,1121850,1123542,1123591
BX284601.5,1121801,1121850,1123989,1124038
BX284601.5,1121801,1121850,1124113,1124162
BX284601.5,1121851,1121900,1123229,1123278
BX284601.5,1121876,1121950,1121998,1122072
BX284601.5,1121876,1122000,1122276,1122400
BX284601.5,1121876,1122000,1123009,1123133
BX284601.5,1121926,1121975,1121978,1122027
BX284601.5,1121926,1122025,1122100,1122199
BX284601.5,1121926,1122025,1122152,1122251
BX284601.5,1121926,1122050,1122204,1122328
BX284601.5,1121926,1121975,1122256,1122305
BX284601.5,1121926,1121975,1122989,1123038
BX284601.5,1121926,1122000,1123528,1123602
BX284601.5,1121926,1121975,1123757,1123806
BX284601.5,1121926,1121975,1123846,1123895
BX284601.5,1121926,1122000,1123975,1124049
BX284601.5,1121926,1122000,1124099,1124173
BX284601.5,1121951,1122000,1122753,1122802
BX284601.5,1121951,1122000,1123154,1123203
BX284601.5,1121951,1122000,1123623,1123672
